지점,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),이슬점온도(°C),현지기압(hPa),시정(10m)
133,2017-01-01 01:00,1.2,,1.2,91,-.1,1021.7,572
133,2017-01-01 02:00,1,,1.1,91,-.3,1021.6,548
133,2017-01-01 03:00,.8,,.4,92,-.3,1021.7,504
133,2017-01-01 04:00,.3,,0,93,-.7,1021.3,392
133,2017-01-01 05:00,-.1,,.5,95,-.8,1020.9,296
133,2017-01-01 06:00,-.7,,1.3,96,-1.2,1020.9,277
133,2017-01-01 07:00,-1,,.6,96,-1.5,1021.5,160
133,2017-01-01 08:00,-1.3,,.2,96,-1.8,1022.2,263
133,2017-01-01 09:00,-.9,,.4,96,-1.4,1022.8,256
133,2017-01-01 10:00,.7,,.4,94,-.1,1022.9,506
133,2017-01-01 11:00,3.6,,.7,85,1.3,1022.6,811
133,2017-01-01 12:00,6.7,,.4,71,1.8,1021.7,1053
133,2017-01-01 13:00,9,,.9,62,2,1020.5,1268
133,2017-01-01 14:00,9.7,,1.6,57,1.5,1019.6,1501
133,2017-01-01 15:00,10.3,,1.9,55,1.6,1019.2,1623
133,2017-01-01 16:00,9.2,,2.7,59,1.5,1019.1,1572
133,2017-01-01 17:00,8.3,,.2,63,1.6,1018.7,1083
133,2017-01-01 18:00,6.9,,.1,68,1.3,1018.5,1010
133,2017-01-01 19:00,5.7,,.1,73,1.2,1017.7,783
133,2017-01-01 20:00,4.2,,1.3,79,.8,1017.9,644
133,2017-01-01 21:00,3.4,,1.5,83,.7,1017.6,599
133,2017-01-01 22:00,2.4,,.7,86,.2,1016.8,414
133,2017-01-01 23:00,1.8,,0,88,0,1017.1,439
133,2017-01-02 00:00,1.4,,1,91,0,1017.2,410
133,2017-01-02 01:00,.8,,1.2,92,-.3,1016.2,374
133,2017-01-02 02:00,.3,,1.1,93,-.7,1016.6,373
133,2017-01-02 03:00,.2,,1.1,93,-.8,1016.5,287
133,2017-01-02 04:00,-.1,,.8,94,-.9,1015.9,321
133,2017-01-02 05:00,-.2,,1.1,95,-.9,1015.8,275
133,2017-01-02 06:00,.2,,1,94,-.6,1015.4,319
133,2017-01-02 07:00,.4,,1.5,94,-.4,1015.3,349
133,2017-01-02 08:00,.6,,.4,93,-.4,1015.1,373
133,2017-01-02 09:00,1.2,,.5,92,0,1015.2,414
133,2017-01-02 10:00,2.5,,.1,89,.8,1015.3,452
133,2017-01-02 11:00,4.5,,.4,84,2,1015.3,586
133,2017-01-02 12:00,8.5,,2.8,68,2.9,1014.6,1099
133,2017-01-02 13:00,8.9,,4.1,68,3.3,1014,2000
133,2017-01-02 14:00,10.3,,4.8,64,3.7,1013.3,2000
133,2017-01-02 15:00,10,,4.2,67,4.1,1013,1735
133,2017-01-02 16:00,10,,3.5,68,4.3,1013.5,1172
133,2017-01-02 17:00,8.7,,2.7,74,4.3,1013.9,793
133,2017-01-02 18:00,7.8,,2,81,4.7,1013.8,655
133,2017-01-02 19:00,7.1,,.7,85,4.7,1014.3,553
133,2017-01-02 20:00,6.5,,.5,87,4.4,1014.7,395
133,2017-01-02 21:00,5.8,,1.6,84,3.2,1015,279
133,2017-01-02 22:00,5.6,,1.6,79,2.2,1014.8,233
133,2017-01-02 23:00,5.2,,1.2,78,1.6,1015.1,210
133,2017-01-03 00:00,3.8,,1.8,85,1.5,1015.3,162
133,2017-01-03 01:00,2.7,,2.5,88,.9,1015.6,146
133,2017-01-03 02:00,2.4,,1.8,86,.2,1015.9,166
133,2017-01-03 03:00,1.5,,1.2,89,-.1,1016.4,190
133,2017-01-03 04:00,1.3,,1.4,89,-.3,1016.6,191
133,2017-01-03 05:00,.1,,.5,91,-1.1,1016.9,173
133,2017-01-03 06:00,-.2,,1,93,-1.2,1017,141
133,2017-01-03 07:00,-.8,,1.7,94,-1.6,1017.2,144
133,2017-01-03 08:00,-1.5,,.3,93,-2.4,1017.5,121
133,2017-01-03 09:00,-.6,,.1,95,-1.3,1017.7,174
133,2017-01-03 10:00,2.2,,.7,87,.2,1017.7,250
133,2017-01-03 11:00,4.9,,1.6,72,.2,1017.7,389
133,2017-01-03 12:00,6.6,,2.3,60,-.6,1017,753
133,2017-01-03 13:00,7.5,,2.3,54,-1.2,1016.1,804
133,2017-01-03 14:00,8.5,,1.6,51,-1,1015.5,1057
133,2017-01-03 15:00,9,,2.5,46,-2,1015.1,1196
133,2017-01-03 16:00,8.1,,3.2,54,-.6,1015,978
133,2017-01-03 17:00,7,,1.2,61,0,1014.9,708
133,2017-01-03 18:00,5.7,,1.4,68,.2,1015.1,534
133,2017-01-03 19:00,4.7,,1,73,.2,1015.1,489
133,2017-01-03 20:00,4.3,,1.5,75,.2,1015.6,477
133,2017-01-03 21:00,3.7,,1.3,77,0,1015.8,552
133,2017-01-03 22:00,2.7,,1.4,82,0,1015.6,490
133,2017-01-03 23:00,1.4,,.9,86,-.6,1015.9,451
133,2017-01-04 00:00,1,,.5,89,-.6,1016,378
133,2017-01-04 01:00,.2,,1,91,-1.1,1015.7,389
133,2017-01-04 02:00,.2,,.5,92,-.9,1015.8,420
133,2017-01-04 03:00,0,,.9,92,-1.1,1016.2,385
133,2017-01-04 04:00,.4,,.7,92,-.7,1015.9,418
133,2017-01-04 05:00,.9,,.3,91,-.4,1015.4,457
133,2017-01-04 06:00,1.4,,.5,89,-.2,1015.3,496
133,2017-01-04 07:00,1.7,,.8,89,0,1015.4,454
133,2017-01-04 08:00,2.1,,.4,88,.3,1015.7,555
133,2017-01-04 09:00,2.4,,.6,89,.7,1016.2,433
133,2017-01-04 10:00,3.7,,.9,86,1.5,1016.9,507
133,2017-01-04 11:00,5.7,,1.6,79,2.3,1017.1,515
133,2017-01-04 12:00,6.9,,1.4,75,2.7,1016.2,541
133,2017-01-04 13:00,9.1,,1.6,65,2.8,1015.5,501
133,2017-01-04 14:00,9.8,,1.8,59,2.1,1014.9,587
133,2017-01-04 15:00,10.2,,.8,38,-3.5,1014.4,1255
133,2017-01-04 16:00,10.1,,1.7,43,-1.9,1014.4,993
133,2017-01-04 17:00,8.9,,1.2,50,-.9,1014.6,847
133,2017-01-04 18:00,7.8,,1.8,60,.5,1015,593
133,2017-01-04 19:00,5.9,,1.3,64,-.4,1015.5,618
133,2017-01-04 20:00,4.3,,1.4,66,-1.5,1016,681
133,2017-01-04 21:00,3.8,,1.5,51,-5.4,1016.5,1531
